Week,Python: (United States),SQL: (United States),R: (United States),C: (United States)
1/5/2014,38,66,21,28
1/12/2014,41,70,24,32
1/19/2014,42,66,24,32
1/26/2014,46,69,25,34
2/2/2014,45,68,25,34
2/9/2014,44,69,27,34
2/16/2014,47,70,26,34
2/23/2014,47,73,27,35
3/2/2014,47,71,25,36
3/9/2014,44,70,26,34
3/16/2014,44,72,23,34
3/23/2014,43,70,24,34
3/30/2014,45,72,25,33
4/6/2014,47,71,27,35
4/13/2014,44,67,27,36
4/20/2014,44,73,28,37
4/27/2014,44,69,27,33
5/4/2014,45,71,26,30
5/11/2014,43,70,25,31
5/18/2014,44,72,26,31
5/25/2014,39,64,23,29
6/1/2014,43,74,25,30
6/8/2014,43,75,23,31
6/15/2014,44,73,23,37
6/22/2014,45,75,25,35
6/29/2014,40,65,22,30
7/6/2014,40,73,23,29
7/13/2014,46,75,25,29
7/20/2014,46,75,25,30
7/27/2014,42,72,24,29
8/3/2014,44,73,25,29
8/10/2014,43,74,24,27
8/17/2014,43,73,23,28
8/24/2014,43,71,25,31
8/31/2014,45,61,26,30
9/7/2014,46,73,27,35
9/14/2014,49,71,28,36
9/21/2014,51,72,27,37
9/28/2014,51,71,28,34
10/5/2014,49,74,27,35
10/12/2014,48,72,27,35
10/19/2014,47,70,28,33
10/26/2014,51,73,28,33
11/2/2014,48,72,27,34
11/9/2014,50,70,27,32
11/16/2014,50,72,29,33
11/23/2014,37,48,24,28
11/30/2014,47,65,27,30
12/7/2014,44,71,27,32
12/14/2014,42,67,23,28
12/21/2014,30,36,17,24
12/28/2014,30,36,16,24
1/4/2015,40,66,21,26
1/11/2015,44,70,25,29
1/18/2015,45,69,26,32
1/25/2015,50,72,28,35
2/1/2015,50,71,28,35
2/8/2015,51,72,29,34
2/15/2015,49,68,28,34
2/22/2015,50,70,28,33
3/1/2015,52,72,29,34
3/8/2015,50,75,29,33
3/15/2015,49,73,29,31
3/22/2015,48,72,27,31
3/29/2015,49,70,28,32
4/5/2015,51,73,31,31
4/12/2015,53,72,31,33
4/19/2015,52,73,31,34
4/26/2015,52,74,30,32
5/3/2015,51,72,28,30
5/10/2015,48,74,27,29
5/17/2015,49,74,27,30
5/24/2015,45,63,24,26
5/31/2015,51,70,27,28
6/7/2015,54,76,26,28
6/14/2015,52,73,26,28
6/21/2015,57,78,26,27
6/28/2015,53,69,23,29
7/5/2015,53,76,27,26
7/12/2015,55,78,26,27
7/19/2015,57,79,26,27
7/26/2015,56,76,28,25
8/2/2015,54,75,26,25
8/9/2015,52,77,25,25
8/16/2015,48,75,24,24
8/23/2015,55,74,26,25
8/30/2015,54,71,27,30
9/6/2015,53,63,28,30
9/13/2015,61,74,31,33
9/20/2015,59,76,30,32
9/27/2015,57,73,29,32
10/4/2015,62,74,30,33
10/11/2015,60,74,30,33
10/18/2015,59,73,30,32
10/25/2015,59,72,29,31
11/1/2015,61,76,30,32
11/8/2015,60,68,30,32
11/15/2015,58,69,28,30
11/22/2015,47,47,24,27
11/29/2015,54,67,29,30
12/6/2015,56,71,28,30
12/13/2015,52,67,26,25
12/20/2015,39,41,19,22
12/27/2015,37,36,18,21
1/3/2016,50,53,22,23
1/10/2016,54,57,23,26
1/17/2016,56,52,25,27
1/24/2016,61,59,30,31
1/31/2016,67,63,31,32
2/7/2016,60,58,30,31
2/14/2016,61,59,30,30
2/21/2016,66,61,31,30
2/28/2016,65,62,30,30
3/6/2016,63,61,29,29
3/13/2016,60,60,26,28
3/20/2016,61,58,27,27
3/27/2016,64,60,31,28
4/3/2016,66,61,29,30
4/10/2016,63,61,30,30
4/17/2016,62,62,31,30
4/24/2016,62,61,31,28
5/1/2016,59,59,28,26
5/8/2016,61,62,27,25
5/15/2016,61,61,25,26
5/22/2016,61,58,25,24
5/29/2016,56,51,24,23
6/5/2016,62,59,27,24
6/12/2016,64,61,24,22
6/19/2016,65,61,25,23
6/26/2016,63,58,25,24
7/3/2016,55,49,23,22
7/10/2016,61,60,24,22
7/17/2016,61,59,24,22
7/24/2016,59,58,24,22
7/31/2016,57,59,24,20
8/7/2016,54,57,24,21
8/14/2016,50,58,22,20
8/21/2016,56,56,24,23
8/28/2016,59,55,25,24
9/4/2016,57,48,25,26
9/11/2016,63,58,29,28
9/18/2016,67,56,30,29
9/25/2016,68,55,29,29
10/2/2016,65,56,29,29
10/9/2016,64,56,30,27
10/16/2016,67,58,31,27
10/23/2016,71,58,32,28
10/30/2016,70,58,31,27
11/6/2016,68,55,29,26
11/13/2016,71,61,31,28
11/20/2016,55,40,25,21
11/27/2016,69,55,31,26
12/4/2016,74,57,32,27
12/11/2016,64,53,28,24
12/18/2016,56,47,21,21
12/25/2016,40,29,18,16
1/1/2017,54,47,21,19
1/8/2017,65,57,25,22
1/15/2017,67,56,28,25
1/22/2017,75,61,31,27
1/29/2017,80,61,32,29
2/5/2017,81,61,34,30
2/12/2017,84,62,32,30
2/19/2017,83,59,34,29
2/26/2017,84,62,35,30
3/5/2017,83,63,34,28
3/12/2017,76,59,30,26
3/19/2017,79,63,31,26
3/26/2017,86,58,33,26
4/2/2017,82,60,33,28
4/9/2017,79,59,35,27
4/16/2017,84,61,34,26
4/23/2017,83,62,37,28
4/30/2017,78,61,33,26
5/7/2017,76,63,29,25
5/14/2017,69,60,27,23
5/21/2017,72,58,25,23
5/28/2017,65,50,24,20
6/4/2017,75,59,26,22
6/11/2017,76,60,27,19
6/18/2017,79,60,28,19
6/25/2017,76,59,27,19
7/2/2017,64,47,23,19
7/9/2017,78,59,27,20
7/16/2017,79,60,27,20
7/23/2017,79,62,27,20
7/30/2017,76,60,26,18
8/6/2017,74,59,25,19
8/13/2017,70,59,24,19
8/20/2017,65,54,24,20
8/27/2017,70,55,27,21
9/3/2017,69,49,27,22
9/10/2017,84,59,30,25
9/17/2017,84,59,32,28
9/24/2017,86,59,31,27
10/1/2017,87,59,31,28
10/8/2017,88,59,33,26
10/15/2017,85,60,33,26
10/22/2017,86,60,33,26
10/29/2017,84,61,32,25
11/5/2017,86,60,33,26
11/12/2017,87,58,31,26
11/19/2017,63,38,25,20
11/26/2017,79,54,33,24
12/3/2017,86,57,32,27
12/10/2017,75,54,29,22
12/17/2017,65,47,23,19
12/24/2017,46,27,16,15
12/31/2017,57,41,19,15
1/7/2018,72,52,23,21
1/14/2018,75,52,26,21
1/21/2018,85,57,29,24
1/28/2018,93,57,33,27
2/4/2018,90,58,33,27
2/11/2018,89,58,34,27
2/18/2018,86,54,33,24
2/25/2018,90,56,33,27
3/4/2018,88,58,31,24
3/11/2018,86,56,28,23
3/18/2018,86,58,30,23
3/25/2018,87,56,29,23
4/1/2018,87,57,32,22
4/8/2018,89,59,33,25
4/15/2018,90,60,32,24
4/22/2018,88,59,33,25
4/29/2018,84,58,31,23
5/6/2018,80,56,28,22
5/13/2018,79,55,27,21
5/20/2018,79,55,26,21
5/27/2018,75,49,25,20
6/3/2018,83,60,25,19
6/10/2018,89,58,25,18
6/17/2018,91,57,24,18
6/24/2018,87,58,26,17
7/1/2018,70,45,22,15
7/8/2018,87,55,26,17
7/15/2018,90,58,25,17
7/22/2018,86,59,26,16
7/29/2018,85,58,25,17
8/5/2018,82,56,24,16
8/12/2018,81,57,24,17
8/19/2018,83,56,24,18
8/26/2018,86,56,26,21
9/2/2018,83,47,27,23
9/9/2018,92,54,30,25
9/16/2018,100,57,33,27
9/23/2018,97,57,33,27
9/30/2018,97,55,33,27
10/7/2018,98,57,32,26
10/14/2018,98,56,33,25
10/21/2018,96,58,32,26
10/28/2018,99,56,32,25
11/4/2018,98,54,30,23
11/11/2018,96,52,31,23
11/18/2018,74,36,23,19
11/25/2018,91,53,31,24
12/2/2018,94,54,33,24
12/9/2018,86,54,30,21
12/16/2018,77,49,23,19
12/23/2018,48,25,16,14
12/30/2018,61,37,17,15
