Month,Python: (United States),SQL: (United States),R: (United States),Java: (United States),C: (United States)
2009-01,17,67,9,87,26
2009-02,20,73,9,100,30
2009-03,19,71,8,98,37
2009-04,19,72,9,97,37
2009-05,17,65,8,90,32
2009-06,18,73,7,90,29
2009-07,19,72,7,85,24
2009-08,18,69,7,86,26
2009-09,19,66,8,91,28
2009-10,19,67,8,92,28
2009-11,17,61,9,91,25
2009-12,16,59,8,84,23
2010-01,17,61,8,82,23
2010-02,18,64,9,90,26
2010-03,18,70,9,94,27
2010-04,18,69,10,94,29
2010-05,18,65,9,84,25
2010-06,18,68,8,83,24
2010-07,17,58,9,77,23
2010-08,17,60,9,81,24
2010-09,18,56,10,84,26
2010-10,18,56,11,86,28
2010-11,18,53,10,82,26
2010-12,16,49,10,74,24
2011-01,18,48,11,67,25
2011-02,19,50,13,76,27
2011-03,19,52,12,75,27
2011-04,19,49,12,73,26
2011-05,18,49,12,67,24
2011-06,19,51,12,69,24
2011-07,19,47,11,64,23
2011-08,18,48,12,66,24
2011-09,19,46,13,73,27
2011-10,20,46,14,73,26
2011-11,19,44,14,70,24
2011-12,17,37,13,61,22
2012-01,17,41,12,62,22
2012-02,20,45,14,68,26
2012-03,20,44,14,67,23
2012-04,20,43,14,68,24
2012-05,19,44,14,62,22
2012-06,19,44,13,61,22
2012-07,19,43,13,60,21
2012-08,19,45,13,65,20
2012-09,20,40,15,72,21
2012-10,22,44,16,71,25
2012-11,20,38,14,61,20
2012-12,18,31,12,56,19
2013-01,20,40,13,88,20
2013-02,23,42,15,79,22
2013-03,22,41,14,70,21
2013-04,23,42,14,71,21
2013-05,22,41,13,62,19
2013-06,22,40,13,60,19
2013-07,22,41,13,61,19
2013-08,22,42,12,59,18
2013-09,23,40,14,62,21
2013-10,25,44,15,76,21
2013-11,25,39,14,64,20
2013-12,21,34,12,54,17
2014-01,23,37,13,70,18
2014-02,26,40,15,71,20
2014-03,26,40,14,67,20
2014-04,26,41,16,70,20
2014-05,24,42,14,62,18
2014-06,25,43,14,61,19
2014-07,26,44,14,66,18
2014-08,25,42,14,66,17
2014-09,29,42,17,74,21
2014-10,30,45,16,80,20
2014-11,26,38,16,72,18
2014-12,25,36,14,64,17
2015-01,26,39,14,71,18
2015-02,30,42,16,80,20
2015-03,29,43,17,76,19
2015-04,32,45,18,78,19
2015-05,28,40,16,67,16
2015-06,32,46,16,68,17
2015-07,32,46,15,58,15
2015-08,31,42,15,57,15
2015-09,34,42,17,64,18
2015-10,35,42,18,66,19
2015-11,33,37,16,64,17
2015-12,29,36,15,56,15
2016-01,32,30,14,46,15
2016-02,38,36,18,56,18
2016-03,37,36,17,53,17
2016-04,38,36,18,53,17
2016-05,36,34,16,45,15
2016-06,36,36,15,44,14
2016-07,33,32,14,39,12
2016-08,32,35,14,41,12
2016-09,38,33,16,50,16
2016-10,39,32,18,48,16
2016-11,39,31,17,48,16
2016-12,36,29,15,40,14
2017-01,39,33,15,43,14
2017-02,48,36,20,53,18
2017-03,49,38,19,52,16
2017-04,49,35,20,49,15
2017-05,42,36,17,43,14
2017-06,46,35,15,40,12
2017-07,42,32,15,39,11
2017-08,43,35,15,41,11
2017-09,47,33,17,47,15
2017-10,51,35,19,50,15
2017-11,49,32,18,46,15
2017-12,40,27,15,36,12
2018-01,46,31,16,40,13
2018-02,52,34,19,46,15
2018-03,51,33,17,44,13
2018-04,51,34,19,46,14
2018-05,46,34,16,38,12
2018-06,50,34,15,37,10
2018-07,49,33,15,36,10
2018-08,49,34,15,38,11
2018-09,53,30,18,43,15
2018-10,58,34,20,47,16
2018-11,53,30,17,40,13
2018-12,44,26,15,32,11
2019-01,50,32,15,37,12
